array,queries,results
67 13 48 29 93 50 93 25 44 40,8-8 | 7-7 | 8-8 | 8-9 | 2-5 | 3-9 | 0-3 | 0-9 | 0-9 | 9-9 | 7-8 | 3-7 | 4-9 | 8-8 | 3-9,44 25 44 40 29 25 13 13 13 40 25 25 25 44 25
15 83 23 29 95 56 9 29 50 94,5-5 | 4-8 | 4-4 | 8-8 | 9-9 | 8-8 | 7-9 | 2-6 | 0-2 | 3-5 | 4-4 | 4-6 | 4-4 | 7-8 | 3-6,56 9 95 50 94 50 29 9 15 29 95 9 95 29 9
33 28 68 5 18 33 65 83 68 34,7-8 | 5-5 | 0-1 | 7-8 | 6-9 | 7-9 | 4-4 | 1-3 | 5-5 | 5-7 | 6-6 | 0-7 | 5-6 | 9-9 | 0-1,68 33 28 68 34 34 18 5 33 33 65 5 33 34 28
52 93 88 23 96 39 6 59 76 41,4-7 | 3-4 | 6-9 | 8-8 | 8-8 | 9-9 | 2-5 | 6-7 | 4-4 | 7-9 | 3-5 | 1-9 | 9-9 | 7-9 | 1-9,6 23 6 76 76 41 23 6 96 41 23 6 41 41 6
35 97 53 28 72 79 88 98 11 71,0-7 | 9-9 | 8-8 | 2-2 | 2-6 | 6-6 | 9-9 | 1-6 | 9-9 | 2-9 | 0-1 | 4-7 | 2-7 | 6-7 | 6-8,28 71 11 53 28 88 71 28 71 11 35 72 28 88 11
27 67 59 47 44 87 77 78 7 24,5-8 | 4-6 | 4-4 | 6-7 | 4-5 | 7-9 | 6-6 | 7-7 | 7-8 | 5-7 | 2-8 | 9-9 | 4-6 | 5-9 | 9-9,7 44 44 77 44 7 77 78 7 77 7 24 44 7 24
48 1 93 68 17 93 31 6 65 57,0-4 | 4-7 | 5-6 | 2-4 | 2-8 | 1-3 | 2-4 | 6-6 | 3-4 | 6-9 | 1-6 | 3-6 | 5-7 | 7-8 | 4-4,1 6 31 17 6 1 17 31 17 6 1 17 6 6 17
69 1 10 96 72 91 57 5 6 11,7-8 | 2-2 | 6-7 | 1-8 | 8-8 | 3-8 | 3-7 | 3-9 | 1-3 | 9-9 | 0-7 | 6-6 | 9-9 | 0-5 | 6-9,5 10 5 1 6 5 5 5 1 11 1 57 11 1 5
27 10 16 100 59 93 54 72 93 19,2-9 | 4-9 | 7-9 | 9-9 | 9-9 | 1-6 | 5-6 | 7-9 | 0-2 | 1-3 | 4-8 | 5-7 | 1-9 | 0-5 | 5-8,16 19 19 19 19 10 54 19 10 10 54 54 10 10 54
70 14 84 92 34 86 36 87 63 8,5-7 | 4-6 | 0-0 | 3-7 | 9-9 | 7-8 | 8-8 | 9-9 | 8-8 | 3-3 | 9-9 | 9-9 | 8-8 | 9-9 | 6-9,36 34 70 34 8 63 63 8 63 92 8 8 63 8 8
80 96 43 21 22 19 15 97 24 53,0-5 | 6-7 | 2-5 | 7-9 | 4-7 | 4-6 | 1-8 | 2-9 | 2-6 | 0-2 | 3-5 | 6-9 | 3-5 | 4-9 | 8-9,19 15 19 24 15 15 15 15 15 43 19 15 19 15 24
51 23 98 54 86 21 40 19 16 4,7-7 | 7-8 | 3-7 | 1-6 | 1-7 | 5-8 | 0-9 | 3-6 | 1-4 | 4-8 | 6-8 | 8-9 | 3-5 | 3-6 | 1-4,19 16 19 21 19 16 4 21 23 16 16 4 21 21 23
55 65 70 67 37 78 46 53 5 83,9-9 | 3-9 | 5-7 | 4-8 | 4-4 | 4-9 | 6-6 | 5-5 | 3-6 | 0-7 | 5-9 | 9-9 | 6-7 | 6-8 | 3-4,83 5 46 5 37 5 46 78 37 37 5 83 46 5 37
70 64 65 5 51 64 64 77 47 95,2-3 | 5-5 | 0-3 | 4-9 | 0-4 | 1-1 | 0-8 | 1-7 | 1-6 | 9-9 | 0-4 | 3-3 | 6-9 | 3-4 | 2-9,5 64 5 47 5 64 5 5 5 95 5 5 47 5 5
47 19 42 46 66 96 4 73 23 95,6-7 | 6-6 | 0-7 | 8-9 | 0-9 | 1-7 | 4-9 | 1-4 | 4-6 | 6-9 | 8-9 | 2-7 | 8-9 | 2-7 | 1-8,4 4 4 23 4 4 4 19 4 4 23 4 23 4 4
54 21 38 19 94 57 6 77 76 71,4-5 | 2-4 | 2-7 | 5-5 | 4-5 | 6-8 | 1-7 | 0-6 | 3-7 | 3-7 | 2-5 | 7-7 | 3-3 | 3-6 | 8-8,57 19 6 57 57 6 6 6 6 6 19 77 19 6 76
13 37 14 34 55 25 24 26 25 6,0-4 | 8-9 | 0-8 | 1-5 | 1-4 | 4-7 | 2-4 | 4-6 | 4-9 | 0-8 | 6-7 | 6-7 | 5-8 | 0-5 | 4-5,13 6 13 14 14 24 14 24 6 13 24 24 24 13 25
2 94 54 34 33 45 98 10 65 74,9-9 | 5-5 | 1-6 | 5-5 | 0-8 | 6-7 | 2-4 | 9-9 | 1-5 | 6-9 | 6-6 | 1-3 | 0-7 | 2-3 | 8-9,74 45 33 45 2 10 33 74 33 10 98 34 2 34 65
44 37 35 50 75 49 4 58 54 53,7-7 | 2-4 | 7-9 | 4-9 | 5-8 | 1-6 | 4-5 | 5-7 | 8-8 | 6-6 | 6-9 | 0-5 | 4-7 | 6-6 | 4-6,58 35 53 4 4 4 49 4 54 4 4 35 4 4 4
93 84 1 43 1 39 21 78 69 73,2-8 | 1-9 | 5-7 | 8-9 | 6-7 | 0-6 | 7-8 | 2-3 | 9-9 | 6-7 | 7-7 | 5-9 | 7-8 | 7-9 | 9-9,1 1 21 69 21 1 69 1 73 21 78 21 69 69 73
10 97 80 15 84 28 18 23 82 74,9-9 | 3-8 | 8-8 | 2-3 | 4-7 | 6-8 | 7-9 | 5-5 | 7-9 | 8-8 | 2-2 | 6-9 | 7-9 | 9-9 | 0-6,74 15 82 15 18 18 23 28 23 82 80 18 23 74 10
59 12 33 93 56 64 47 72 45 64,0-3 | 7-7 | 6-7 | 8-9 | 9-9 | 4-4 | 2-7 | 8-8 | 5-6 | 0-6 | 5-9 | 4-8 | 0-8 | 8-9 | 1-5,12 72 47 45 64 56 33 45 47 12 45 45 12 45 12
66 80 68 41 84 90 98 56 74 79,7-7 | 6-7 | 6-7 | 8-8 | 8-9 | 3-7 | 7-7 | 6-9 | 3-8 | 1-4 | 9-9 | 9-9 | 4-4 | 6-9 | 0-7,56 56 56 74 74 41 56 56 41 41 79 79 84 56 41
88 53 37 44 97 97 9 86 36 84,8-9 | 3-7 | 4-9 | 5-6 | 2-2 | 7-8 | 1-6 | 1-8 | 4-9 | 9-9 | 0-2 | 9-9 | 8-8 | 7-8 | 5-8,36 9 9 9 37 36 9 9 9 84 37 84 36 36 9
59 49 51 27 17 24 9 89 54 48,0-9 | 4-7 | 5-7 | 7-7 | 6-8 | 5-6 | 2-4 | 1-4 | 6-7 | 1-1 | 2-3 | 2-4 | 8-8 | 9-9 | 2-2,9 9 9 89 9 9 17 17 9 49 27 17 54 48 51
5 20 57 12 45 46 45 9 80 40,0-3 | 9-9 | 2-5 | 4-9 | 6-8 | 8-9 | 4-5 | 2-9 | 1-6 | 0-7 | 4-5 | 4-9 | 4-5 | 3-5 | 5-9,5 40 12 9 9 40 45 9 12 5 45 9 45 12 9
4 95 41 25 52 88 83 67 61 87,5-6 | 6-8 | 4-8 | 3-8 | 6-6 | 7-7 | 8-9 | 1-5 | 8-9 | 6-9 | 2-4 | 7-8 | 0-2 | 8-9 | 5-6,83 61 52 25 83 67 61 25 61 61 25 61 4 61 83
49 39 3 69 11 37 67 84 31 94,2-5 | 3-7 | 4-7 | 1-4 | 1-9 | 6-8 | 8-9 | 5-5 | 7-8 | 8-9 | 1-3 | 4-8 | 8-8 | 7-9 | 5-7,3 11 11 3 3 31 31 37 31 31 3 11 31 31 37
4 32 56 8 69 87 11 50 45 20,8-8 | 7-8 | 7-7 | 6-6 | 2-9 | 9-9 | 4-8 | 2-2 | 8-8 | 3-4 | 8-9 | 8-9 | 4-4 | 3-9 | 6-8,45 45 50 11 8 20 11 56 45 8 20 20 69 8 11
99 71 37 40 21 60 52 54 52 43,6-7 | 2-7 | 6-6 | 8-8 | 5-6 | 5-6 | 9-9 | 7-7 | 8-9 | 0-5 | 2-5 | 1-3 | 6-7 | 8-9 | 3-6,52 21 52 52 52 52 43 54 43 21 21 37 52 43 21
77 57 80 56 74 15 44 87 3 56,6-9 | 9-9 | 3-3 | 1-1 | 7-9 | 9-9 | 3-3 | 0-6 | 5-8 | 9-9 | 3-7 | 2-6 | 8-8 | 3-9 | 3-3,3 56 56 57 3 56 56 15 3 56 15 15 3 3 56
99 14 43 27 53 15 69 22 93 56,6-8 | 4-7 | 8-8 | 3-3 | 5-9 | 5-7 | 6-9 | 0-5 | 3-8 | 9-9 | 1-1 | 4-9 | 7-8 | 5-6 | 5-9,22 15 93 27 15 15 22 14 15 56 14 15 22 15 15
48 51 34 16 99 58 72 60 56 93,3-5 | 7-9 | 1-6 | 2-4 | 5-9 | 2-8 | 5-6 | 1-2 | 0-5 | 7-7 | 9-9 | 0-4 | 0-2 | 2-3 | 2-6,16 56 16 16 56 16 58 34 16 60 93 16 34 16 16
59 47 90 81 3 92 95 93 37 48,9-9 | 9-9 | 1-8 | 5-6 | 4-8 | 3-6 | 9-9 | 4-7 | 1-2 | 6-7 | 0-0 | 7-9 | 1-3 | 9-9 | 1-7,48 48 3 92 3 3 48 3 47 93 59 37 47 48 3
8 35 81 63 1 33 47 13 61 37,3-7 | 6-8 | 7-9 | 0-5 | 5-7 | 1-9 | 9-9 | 9-9 | 7-7 | 0-9 | 6-6 | 1-5 | 2-8 | 0-3 | 7-9,1 13 13 1 13 1 37 37 13 1 47 1 1 8 13
49 29 95 74 62 17 53 20 84 34,3-8 | 3-9 | 9-9 | 8-9 | 8-8 | 0-7 | 9-9 | 6-8 | 2-7 | 4-9 | 8-9 | 3-4 | 3-5 | 0-3 | 9-9,17 17 34 34 84 17 34 20 17 17 34 62 17 29 34
9 49 73 84 74 17 12 22 57 92,3-3 | 8-9 | 3-9 | 0-3 | 8-8 | 8-9 | 0-1 | 0-1 | 4-5 | 2-9 | 7-8 | 7-9 | 0-5 | 3-5 | 2-7,84 57 12 9 57 57 9 9 17 12 22 22 9 17 12
92 67 80 49 67 5 69 37 6 90,2-8 | 8-9 | 5-8 | 1-5 | 6-7 | 5-5 | 5-7 | 1-9 | 9-9 | 7-7 | 2-7 | 6-7 | 8-9 | 1-2 | 2-5,5 6 5 5 37 5 5 5 90 37 5 37 6 67 5
75 3 60 97 5 31 81 66 79 7,9-9 | 5-5 | 6-9 | 8-8 | 8-8 | 2-5 | 2-6 | 9-9 | 1-7 | 5-7 | 9-9 | 2-4 | 2-9 | 2-4 | 4-7,7 31 7 79 79 5 5 7 3 31 7 5 5 5 5
99 73 92 81 66 90 6 5 60 29,8-9 | 4-4 | 1-8 | 3-9 | 9-9 | 9-9 | 9-9 | 5-8 | 8-8 | 7-7 | 1-6 | 9-9 | 1-5 | 5-5 | 6-7,29 66 5 5 29 29 29 5 60 5 6 29 66 90 5
68 26 38 84 16 30 78 31 17 33,1-6 | 5-6 | 2-6 | 4-7 | 9-9 | 2-6 | 0-2 | 3-8 | 6-8 | 7-8 | 5-7 | 8-8 | 3-9 | 1-1 | 7-7,16 30 16 16 33 16 26 16 17 17 30 17 16 26 31
48 23 43 56 23 30 9 26 1 97,5-6 | 4-8 | 5-5 | 1-1 | 2-5 | 5-6 | 3-4 | 3-8 | 2-6 | 3-6 | 5-6 | 9-9 | 1-3 | 2-3 | 8-8,9 1 30 23 23 9 23 1 9 9 9 97 23 43 1
77 11 36 72 80 75 44 29 73 33,2-3 | 6-6 | 8-9 | 1-8 | 9-9 | 5-6 | 7-7 | 8-8 | 3-5 | 7-8 | 2-2 | 2-6 | 8-8 | 8-9 | 5-8,36 44 33 11 33 44 29 73 72 29 36 36 73 33 29
2 77 41 59 10 68 29 43 17 58,5-7 | 8-9 | 4-7 | 4-9 | 7-9 | 7-7 | 9-9 | 9-9 | 3-3 | 3-6 | 6-8 | 3-8 | 7-8 | 3-9 | 4-8,29 17 10 10 17 43 58 58 59 10 17 10 17 10 10
81 81 95 8 39 2 82 15 75 94,0-2 | 4-8 | 0-7 | 0-8 | 4-8 | 6-6 | 6-7 | 5-5 | 1-3 | 7-9 | 3-5 | 6-9 | 4-7 | 6-6 | 3-3,81 2 2 2 2 82 15 2 8 15 2 15 2 82 8
33 95 65 62 31 78 52 97 55 44,1-8 | 5-6 | 0-6 | 8-8 | 9-9 | 3-7 | 1-1 | 4-8 | 3-4 | 0-6 | 7-9 | 4-7 | 6-6 | 1-7 | 4-4,31 52 31 55 44 31 95 31 31 31 44 31 52 31 31
67 75 27 50 80 78 48 60 99 22,2-8 | 7-9 | 3-8 | 3-5 | 8-9 | 7-9 | 0-0 | 9-9 | 1-5 | 1-1 | 4-7 | 0-7 | 7-8 | 3-3 | 6-7,27 22 48 50 22 22 67 22 27 75 48 27 60 50 48
64 21 18 24 40 28 42 9 12 80,7-9 | 3-7 | 2-7 | 9-9 | 3-4 | 9-9 | 3-7 | 1-3 | 6-7 | 6-6 | 4-6 | 6-9 | 6-7 | 0-7 | 3-5,9 9 9 80 24 80 9 18 9 42 28 9 9 9 24
71 95 95 69 61 39 80 11 53 53,7-9 | 4-6 | 5-6 | 2-5 | 7-9 | 8-8 | 2-2 | 8-9 | 3-3 | 1-8 | 4-8 | 2-7 | 4-9 | 5-8 | 4-6,11 39 39 39 11 53 95 53 69 11 11 11 11 11 39
63 9 15 13 44 50 13 38 21 89,1-1 | 5-6 | 3-3 | 1-5 | 3-8 | 1-2 | 8-9 | 4-9 | 2-2 | 8-9 | 1-8 | 5-7 | 5-8 | 4-7 | 2-4,9 13 13 9 13 9 21 13 15 21 9 13 13 13 13
29 96 77 50 42 41 92 49 59 72,4-8 | 1-3 | 9-9 | 5-5 | 9-9 | 7-7 | 1-3 | 8-9 | 9-9 | 5-7 | 0-8 | 7-8 | 9-9 | 4-8 | 9-9,41 50 72 41 72 49 50 59 72 41 29 49 72 41 72
68 21 33 97 20 56 36 6 83 36,5-9 | 9-9 | 0-4 | 1-1 | 7-8 | 4-8 | 8-9 | 3-3 | 9-9 | 3-6 | 9-9 | 8-8 | 5-6 | 3-6 | 6-7,6 36 20 21 6 6 36 97 36 20 36 83 36 20 6
82 99 1 20 17 64 7 46 54 95,5-9 | 7-7 | 9-9 | 3-6 | 5-9 | 2-2 | 0-3 | 9-9 | 2-9 | 8-8 | 8-8 | 5-9 | 8-8 | 2-7 | 4-4,7 46 95 7 7 1 1 95 1 54 54 7 54 1 17
94 27 18 15 15 76 52 25 79 40,0-7 | 0-2 | 6-7 | 0-6 | 6-6 | 2-5 | 8-9 | 6-9 | 4-9 | 2-2 | 7-9 | 3-9 | 6-8 | 1-8 | 6-8,15 18 25 15 52 15 40 25 15 18 25 15 25 15 25
40 69 97 47 95 7 10 84 82 88,8-8 | 0-8 | 1-5 | 8-8 | 3-3 | 8-8 | 7-9 | 5-5 | 3-8 | 1-9 | 5-8 | 6-7 | 5-9 | 0-6 | 2-6,82 7 7 82 47 82 82 7 7 7 7 10 7 7 7
12 51 34 58 38 32 92 72 59 55,8-8 | 8-8 | 6-8 | 0-8 | 5-7 | 6-7 | 2-8 | 2-6 | 5-8 | 6-7 | 8-9 | 2-5 | 7-9 | 5-6 | 2-6,59 59 59 12 32 72 32 32 32 72 55 32 55 32 32
96 37 41 46 13 76 18 80 62 69,1-2 | 7-9 | 6-6 | 4-7 | 3-6 | 5-8 | 6-7 | 2-8 | 9-9 | 3-7 | 6-9 | 9-9 | 6-6 | 3-4 | 1-5,37 62 18 13 13 18 18 13 69 13 18 69 18 13 13
99 43 32 59 44 87 23 72 18 96,8-9 | 1-4 | 8-8 | 6-9 | 7-9 | 9-9 | 9-9 | 3-4 | 2-6 | 0-8 | 4-5 | 2-8 | 1-5 | 6-8 | 5-9,18 32 18 18 18 96 96 44 23 18 44 18 32 18 18
27 53 31 24 65 27 70 95 50 42,6-9 | 8-8 | 8-8 | 8-8 | 2-2 | 9-9 | 4-9 | 3-5 | 3-7 | 5-5 | 0-1 | 8-8 | 4-4 | 1-6 | 3-3,42 50 50 50 31 42 27 24 24 27 27 50 65 24 24
83 99 92 4 37 16 8 19 90 53,6-6 | 6-7 | 7-7 | 6-8 | 7-8 | 4-9 | 2-8 | 2-8 | 4-5 | 0-1 | 5-6 | 9-9 | 5-7 | 6-7 | 9-9,8 8 19 8 19 8 4 4 16 83 8 53 8 8 53
19 14 68 81 92 10 90 7 61 57,9-9 | 1-3 | 0-2 | 1-9 | 4-4 | 5-6 | 4-4 | 3-6 | 2-6 | 3-9 | 9-9 | 8-9 | 5-8 | 4-7 | 8-9,57 14 14 7 92 10 92 10 10 7 57 57 7 7 57
27 90 68 71 31 42 2 78 94 9,3-6 | 8-8 | 3-5 | 8-8 | 0-3 | 5-9 | 0-2 | 1-1 | 9-9 | 1-1 | 7-8 | 8-9 | 9-9 | 3-7 | 6-7,2 94 31 94 27 2 27 90 9 90 78 9 9 2 2
15 50 84 66 72 3 94 69 5 35,3-7 | 3-6 | 3-3 | 5-5 | 2-8 | 3-7 | 6-9 | 4-8 | 2-2 | 0-5 | 6-9 | 5-8 | 8-9 | 5-8 | 3-5,3 3 66 3 3 3 5 3 84 3 5 3 5 3 3
71 50 14 68 7 43 11 49 47 92,6-7 | 3-9 | 2-3 | 0-2 | 9-9 | 9-9 | 3-6 | 3-6 | 2-3 | 6-8 | 1-5 | 0-3 | 3-6 | 2-8 | 3-6,11 7 14 14 92 92 7 7 14 11 7 14 7 7 7
53 83 69 31 33 11 57 79 51 72,9-9 | 2-7 | 8-8 | 2-6 | 9-9 | 6-8 | 7-8 | 6-6 | 3-9 | 2-4 | 6-6 | 3-5 | 3-5 | 4-7 | 0-4,72 11 51 11 72 51 51 57 11 31 57 11 11 11 31
21 59 57 78 46 45 38 27 14 97,8-8 | 7-7 | 5-5 | 1-1 | 7-7 | 1-5 | 5-8 | 2-4 | 0-6 | 6-9 | 7-8 | 0-3 | 3-6 | 8-8 | 6-8,14 27 45 59 27 45 14 46 21 14 14 21 38 14 14
71 67 80 35 5 85 50 68 87 1,5-8 | 5-5 | 3-3 | 4-8 | 6-6 | 3-8 | 1-1 | 9-9 | 2-7 | 7-7 | 3-7 | 7-7 | 2-2 | 7-8 | 5-5,50 85 35 5 50 5 67 1 5 68 5 68 80 68 85
12 42 44 94 66 39 72 84 37 93,5-6 | 4-6 | 8-8 | 6-9 | 7-7 | 3-7 | 7-7 | 6-8 | 7-7 | 7-7 | 2-3 | 5-7 | 8-8 | 9-9 | 2-5,39 39 37 37 84 39 84 37 84 84 44 39 37 93 39
27 24 5 79 61 11 75 42 66 45,2-9 | 7-9 | 3-5 | 5-8 | 5-7 | 3-6 | 3-6 | 9-9 | 1-7 | 3-4 | 7-9 | 3-3 | 0-1 | 6-8 | 8-8,5 42 11 11 11 11 11 45 5 61 42 79 24 42 66
78 23 23 50 89 7 87 87 18 88,9-9 | 7-9 | 3-8 | 0-1 | 6-9 | 6-6 | 1-9 | 3-4 | 8-8 | 1-4 | 5-9 | 0-1 | 1-7 | 6-6 | 7-9,88 18 7 23 18 87 7 50 18 23 7 23 7 87 18
23 60 48 51 53 58 3 88 90 14,1-4 | 8-8 | 1-3 | 3-4 | 5-9 | 1-3 | 1-3 | 9-9 | 6-8 | 1-4 | 2-9 | 2-6 | 6-7 | 5-8 | 9-9,48 90 48 51 3 48 48 14 3 48 3 3 3 3 14
39 36 96 78 15 42 7 31 93 42,2-9 | 1-3 | 4-4 | 6-8 | 2-4 | 4-9 | 4-5 | 8-8 | 6-6 | 8-8 | 6-7 | 3-3 | 2-7 | 3-6 | 7-9,7 36 15 7 15 7 15 93 7 93 7 78 7 7 31
25 56 76 59 44 26 91 3 29 72,2-6 | 0-0 | 0-2 | 1-7 | 9-9 | 8-9 | 2-9 | 7-7 | 5-8 | 1-9 | 4-9 | 4-6 | 1-9 | 1-8 | 0-0,26 25 25 3 72 29 3 3 3 3 3 26 3 3 25
88 59 2 77 39 25 88 39 16 27,9-9 | 8-9 | 4-5 | 7-8 | 8-9 | 7-9 | 6-9 | 7-9 | 1-5 | 7-9 | 3-4 | 5-9 | 9-9 | 2-5 | 0-1,27 16 25 16 16 16 16 16 2 16 39 16 27 2 59
28 55 42 25 64 45 23 25 83 84,4-4 | 1-5 | 4-8 | 2-3 | 4-5 | 1-7 | 7-9 | 3-9 | 3-7 | 0-5 | 0-3 | 4-6 | 0-3 | 6-6 | 0-4,64 25 23 25 45 23 25 23 23 25 25 23 25 23 25
94 99 45 98 40 66 72 49 68 21,5-5 | 7-7 | 6-8 | 6-6 | 6-6 | 2-8 | 4-5 | 0-0 | 5-9 | 8-8 | 0-8 | 7-8 | 7-9 | 7-8 | 9-9,66 49 49 72 72 40 40 94 21 68 40 49 21 49 21
47 26 83 90 97 58 49 29 62 33,6-6 | 6-9 | 3-9 | 8-8 | 4-6 | 3-7 | 3-3 | 0-5 | 3-4 | 4-9 | 1-1 | 5-9 | 1-9 | 2-6 | 1-9,49 29 29 62 49 29 90 26 90 29 26 29 26 49 26
13 24 81 44 9 26 34 44 74 99,3-8 | 3-3 | 6-9 | 1-4 | 0-0 | 7-7 | 7-8 | 8-9 | 0-5 | 1-4 | 4-6 | 0-7 | 8-9 | 1-3 | 6-9,9 44 34 9 13 44 44 74 9 9 9 9 74 24 34
55 28 33 45 42 13 96 90 79 14,5-9 | 9-9 | 3-7 | 0-1 | 5-7 | 7-8 | 8-9 | 8-8 | 8-8 | 4-4 | 9-9 | 5-9 | 8-8 | 7-7 | 1-7,13 14 13 28 13 79 14 79 79 42 14 13 79 90 13
11 73 81 72 24 81 11 57 69 66,1-6 | 7-9 | 7-9 | 7-9 | 2-8 | 5-8 | 5-9 | 8-8 | 2-9 | 5-6 | 5-9 | 4-9 | 4-6 | 6-8 | 0-3,11 57 57 57 11 11 11 69 11 11 11 11 11 11 11
46 23 2 90 50 26 73 30 61 48,7-7 | 7-9 | 1-9 | 9-9 | 8-9 | 7-9 | 2-7 | 6-9 | 4-4 | 8-8 | 8-9 | 3-8 | 8-8 | 8-9 | 0-0,30 30 2 48 48 30 2 30 50 61 48 26 61 48 46
99 89 66 89 82 34 70 74 77 76,6-7 | 7-9 | 1-5 | 0-7 | 7-8 | 2-3 | 2-3 | 9-9 | 2-5 | 4-6 | 2-3 | 8-9 | 2-7 | 3-5 | 4-4,70 74 34 34 74 66 66 76 34 34 66 76 34 34 82
36 85 9 3 46 58 51 17 51 8,2-5 | 9-9 | 5-8 | 4-6 | 8-9 | 0-2 | 4-7 | 7-7 | 3-6 | 7-7 | 9-9 | 7-7 | 8-8 | 0-8 | 0-0,3 8 17 46 8 9 17 17 3 17 8 17 51 3 36
89 55 29 16 87 33 73 96 80 48,4-7 | 3-5 | 2-4 | 8-8 | 4-5 | 8-8 | 2-5 | 6-8 | 3-8 | 9-9 | 9-9 | 7-7 | 8-8 | 0-9 | 4-5,33 16 16 80 33 80 16 73 16 48 48 96 80 16 33
89 89 6 99 58 31 97 56 46 83,3-5 | 3-9 | 4-7 | 0-8 | 8-9 | 7-8 | 9-9 | 6-6 | 2-3 | 6-7 | 7-9 | 3-5 | 3-6 | 5-5 | 1-6,31 31 31 6 46 46 83 97 6 56 46 31 31 31 6
68 80 40 51 72 3 100 69 10 88,6-6 | 9-9 | 9-9 | 0-6 | 4-6 | 0-3 | 9-9 | 5-5 | 2-7 | 4-5 | 5-6 | 8-9 | 5-8 | 5-7 | 7-8,100 88 88 3 3 40 88 3 3 3 3 10 3 3 10
62 92 10 25 61 3 68 75 96 88,3-3 | 6-8 | 9-9 | 2-4 | 9-9 | 4-8 | 7-9 | 6-9 | 9-9 | 4-4 | 5-6 | 0-6 | 7-7 | 4-4 | 9-9,25 68 88 10 88 3 75 68 88 61 3 3 75 61 88
40 80 39 26 44 8 5 53 59 28,8-8 | 2-8 | 8-9 | 3-3 | 1-3 | 6-9 | 8-8 | 4-5 | 3-4 | 2-5 | 0-4 | 6-8 | 8-8 | 4-9 | 0-6,59 5 28 26 26 5 59 8 26 8 26 5 59 5 5
6 83 20 35 42 11 62 69 53 84,5-8 | 6-7 | 0-8 | 3-8 | 0-4 | 8-8 | 3-8 | 3-7 | 0-2 | 4-7 | 0-3 | 0-0 | 4-5 | 8-8 | 3-8,11 62 6 11 6 53 11 11 6 11 6 6 11 53 11
99 77 67 1 47 21 51 31 18 57,7-8 | 9-9 | 8-8 | 1-3 | 5-5 | 5-5 | 0-1 | 2-8 | 8-9 | 8-9 | 0-6 | 9-9 | 0-2 | 9-9 | 7-9,18 57 18 1 21 21 77 1 18 18 1 57 67 57 18
