initial_array,operations,results
16 98 34 27 7 58 26 59 98 14,update-6-14 | update-7-68 | update-2-66 | update-9-48 | update-9-80 | update-2-18 | query-6-10 | query-3-7 | query-3-9 | update-6-77 | update-6-61 | update-10-85 | query-4-8 | update-9-51 | update-7-64,None None None None None None 465 234 519 None None None 397 None None
27 25 50 32 15 57 10 66 83 82,query-6-8 | update-8-9 | query-6-9 | update-8-56 | query-10-10 | update-7-63 | query-3-7 | query-5-6 | query-8-8 | update-2-7 | update-4-37 | update-1-19 | update-7-7 | update-1-99 | query-2-4,133 None 225 None 82 None 227 72 131 None None None None None 151
49 25 7 75 21 45 14 79 50 51,update-2-28 | query-8-9 | query-8-8 | query-1-9 | query-1-9 | update-1-78 | query-1-10 | update-4-32 | query-5-5 | query-4-8 | query-5-7 | update-10-76 | update-10-21 | update-6-64 | update-10-57,None 129 79 393 393 None 522 None 21 266 80 None None None None
86 24 76 70 96 26 56 4 59 23,query-3-8 | update-4-17 | update-2-41 | update-7-2 | update-3-27 | update-10-44 | query-10-10 | update-4-100 | query-5-8 | update-2-3 | update-9-54 | query-7-8 | query-5-8 | update-10-81 | query-8-10,328 None None None None None 67 None 184 None None 62 184 None 265
35 32 52 60 95 11 98 79 86 28,query-8-8 | update-8-44 | update-6-65 | query-6-9 | update-2-24 | query-3-10 | query-1-10 | update-8-27 | query-2-3 | update-10-44 | query-10-10 | update-4-9 | query-3-9 | query-1-5 | query-4-9,79 None None 383 None 618 709 None 108 None 72 None 626 307 574
11 45 88 3 52 72 89 66 30 97,query-1-2 | query-8-10 | update-2-78 | update-1-32 | query-9-9 | query-6-9 | query-4-7 | query-7-9 | update-3-97 | update-3-73 | update-10-33 | update-9-82 | query-7-10 | update-2-24 | update-10-67,56 193 None None 30 257 216 185 None None None None 397 None None
54 17 70 87 42 51 92 63 48 16,query-8-10 | query-4-9 | update-7-91 | query-10-10 | query-3-8 | query-9-10 | update-10-10 | query-8-9 | query-5-9 | query-6-7 | update-1-80 | update-8-34 | query-3-6 | update-8-44 | query-5-10,127 383 None 16 496 64 None 111 387 234 None None 250 None 491
85 70 2 92 42 62 65 81 11 74,query-8-10 | update-7-24 | query-1-8 | update-8-17 | query-4-4 | query-4-5 | query-3-6 | update-2-68 | query-3-4 | query-2-4 | update-9-44 | update-4-18 | query-6-10 | update-2-52 | query-9-10,166 None 523 None 92 134 198 None 94 232 None None 378 None 129
82 7 28 34 76 94 36 32 93 76,update-4-36 | query-3-4 | query-6-6 | update-9-97 | update-2-73 | query-1-3 | update-10-93 | update-10-87 | query-2-4 | update-2-40 | query-10-10 | update-4-49 | query-9-9 | query-6-7 | query-6-7,None 98 94 None None 190 None None 178 None 256 None 190 130 130
44 25 33 61 49 61 55 57 30 69,query-9-9 | update-2-16 | update-2-56 | query-5-9 | update-4-35 | update-7-74 | update-7-7 | query-4-9 | query-7-8 | query-6-6 | update-2-71 | query-4-4 | update-9-23 | query-4-10 | query-10-10,30 None None 252 None None None 429 193 61 None 96 None 521 69
89 96 61 19 21 37 76 88 69 74,query-4-4 | update-5-66 | update-2-49 | query-3-4 | query-2-9 | update-3-55 | query-8-9 | query-7-10 | query-10-10 | update-5-87 | update-7-7 | query-9-10 | query-10-10 | query-10-10 | update-2-47,19 None None 80 582 None 157 307 74 None None 143 74 74 None
30 55 9 94 98 84 56 87 79 24,update-1-24 | query-6-10 | query-8-10 | query-2-6 | update-5-70 | update-5-3 | query-8-8 | update-10-44 | update-4-68 | query-2-5 | update-6-61 | query-6-7 | query-10-10 | query-7-8 | query-9-10,None 330 190 340 None None 87 None None 397 None 201 68 143 147
87 39 73 63 8 39 79 95 79 82,query-7-9 | update-10-39 | query-10-10 | update-9-68 | update-9-89 | update-1-82 | update-2-98 | query-3-9 | update-9-78 | update-8-75 | query-2-6 | update-1-38 | update-7-56 | update-4-91 | update-10-100,253 None 121 None None None None 593 None None 320 None None None None
35 37 96 6 1 89 53 77 56 68,query-9-10 | query-9-9 | update-5-31 | update-8-6 | update-4-61 | update-1-87 | query-2-6 | update-8-38 | update-3-85 | update-1-87 | query-4-4 | update-1-35 | update-9-87 | update-10-31 | update-5-28,124 56 None None None None 321 None None None 67 None None None None
21 22 93 94 62 49 50 89 94 91,query-6-8 | query-1-8 | update-4-73 | query-10-10 | query-10-10 | query-1-10 | update-10-51 | update-2-10 | update-9-76 | query-6-7 | query-7-7 | query-8-10 | query-9-9 | query-3-10 | update-4-57,188 480 None 91 91 738 None None None 99 50 401 170 822 None
18 86 10 25 44 90 26 52 33 58,update-4-59 | update-10-27 | query-10-10 | query-4-5 | query-3-10 | update-8-70 | query-9-10 | query-1-5 | query-6-7 | query-10-10 | query-2-9 | query-3-10 | query-5-10 | query-5-5 | query-2-2,None None 85 128 424 None 118 242 116 85 495 494 400 44 86
87 7 4 15 44 44 97 44 82 82,update-3-81 | query-1-3 | query-3-3 | query-5-5 | update-6-22 | query-3-7 | query-3-3 | query-5-7 | update-6-29 | update-3-60 | query-6-8 | query-2-4 | update-10-80 | query-5-10 | query-6-10,None 179 85 44 None 307 85 207 None None 236 167 None 524 480
46 36 83 75 19 85 92 88 35 86,update-6-38 | update-6-58 | update-10-20 | update-7-10 | update-8-51 | query-8-10 | query-3-6 | query-9-9 | query-7-10 | update-1-23 | update-7-56 | query-8-8 | update-2-35 | query-10-10 | update-1-74,None None None None None 280 358 35 382 None None 139 None 106 None
11 59 65 41 69 18 9 43 7 44,update-7-65 | update-7-62 | query-5-10 | update-4-21 | query-4-5 | update-8-77 | query-9-10 | update-10-70 | update-7-22 | update-9-44 | query-6-7 | query-10-10 | update-3-26 | update-4-21 | query-6-8,None None 317 None 131 None 51 None None None 176 114 None None 296
84 22 94 87 18 54 81 40 49 40,update-2-67 | query-3-8 | update-3-72 | query-10-10 | query-4-6 | update-7-51 | query-1-7 | query-8-9 | update-7-97 | update-4-21 | query-2-3 | update-4-82 | query-8-9 | query-10-10 | update-1-79,None 374 None 40 159 None 630 89 None None 255 None 89 40 None
28 52 92 52 1 77 41 9 80 26,update-1-90 | update-7-17 | query-9-9 | update-5-3 | query-7-7 | update-3-31 | query-4-4 | update-6-43 | query-10-10 | query-6-10 | query-1-5 | query-7-10 | query-3-3 | update-4-44 | query-6-7,None None 80 None 58 None 52 None 26 293 349 173 123 None 178
49 93 25 15 79 56 13 80 71 16,query-10-10 | update-2-28 | update-1-54 | query-6-7 | query-3-4 | update-4-39 | update-6-33 | update-2-1 | update-2-36 | query-6-7 | query-6-8 | update-4-49 | update-6-71 | update-5-64 | update-3-13,16 None None 69 40 None None None None 102 182 None None None None
65 53 32 93 66 77 97 14 65 48,query-10-10 | update-5-14 | update-6-49 | update-4-31 | query-4-9 | query-9-10 | update-7-28 | update-8-30 | query-2-5 | query-8-10 | update-3-72 | query-8-8 | query-1-9 | query-3-4 | query-3-5,48 None None None 506 113 None None 289 157 None 44 786 228 308
53 14 10 94 45 82 68 3 97 23,update-10-65 | update-9-95 | query-7-7 | update-1-29 | query-2-10 | update-10-40 | query-2-9 | query-10-10 | update-10-30 | query-6-6 | query-5-5 | update-5-22 | update-4-17 | update-9-43 | query-2-8,None None 68 None 596 None 508 128 None 82 45 None None None 355
86 4 31 63 43 34 49 45 15 64,update-3-96 | query-2-7 | query-5-7 | query-1-9 | update-2-3 | update-9-54 | query-8-9 | update-6-97 | query-2-2 | query-7-10 | update-1-69 | update-3-26 | query-7-7 | update-7-21 | query-3-10,None 320 126 466 None None 114 None 7 227 None None 49 None 638
34 18 64 19 39 93 2 77 94 82,query-4-5 | query-8-10 | query-9-9 | query-2-2 | update-3-80 | query-9-10 | update-1-91 | query-1-6 | update-7-40 | update-9-54 | update-2-29 | query-8-9 | update-7-98 | query-8-9 | query-4-5,58 253 94 18 None 176 None 438 None None None 225 None 225 58
52 34 48 40 5 60 69 1 77 10,query-8-10 | query-5-8 | query-1-3 | query-9-9 | query-7-9 | query-4-9 | update-9-18 | update-8-24 | update-9-51 | query-2-6 | query-6-6 | query-3-5 | update-8-58 | update-2-67 | update-1-2,88 135 134 77 147 252 None None None 187 60 93 None None None
66 38 100 31 75 22 61 8 98 11,update-7-90 | update-5-69 | query-4-6 | update-8-31 | update-9-14 | update-1-9 | update-7-82 | update-1-69 | update-8-78 | query-8-10 | update-2-3 | update-3-26 | update-6-83 | update-10-62 | update-2-40,None None 197 None None None None None None 240 None None None None None
35 47 12 14 21 50 79 8 95 61,query-8-8 | query-2-4 | query-10-10 | query-7-7 | update-7-25 | query-6-8 | update-6-74 | update-3-52 | query-5-8 | query-5-9 | update-10-8 | update-4-25 | update-7-70 | update-6-29 | query-7-10,8 73 61 79 None 162 None None 257 352 None None None None 346
8 98 3 78 66 39 100 27 71 11,update-2-84 | query-5-5 | query-5-9 | query-10-10 | query-10-10 | update-10-41 | query-1-1 | query-2-10 | query-3-10 | query-7-8 | query-3-5 | query-8-10 | update-6-66 | query-9-10 | query-7-7,None 66 303 11 11 None 8 618 436 127 147 150 None 123 100
44 38 89 28 10 25 78 73 18 62,query-3-10 | update-3-72 | query-4-8 | query-7-7 | query-7-8 | update-8-8 | query-10-10 | update-4-53 | update-2-41 | query-6-8 | update-9-34 | query-6-8 | query-7-8 | query-10-10 | update-4-29,383 None 214 78 151 None 62 None None 184 None 184 159 62 None
95 1 65 89 1 87 94 59 64 28,update-9-41 | query-5-6 | query-8-9 | query-10-10 | update-7-10 | update-8-91 | update-8-20 | update-6-7 | update-7-48 | update-10-9 | update-9-26 | update-6-20 | query-5-5 | query-3-3 | query-3-3,None 88 164 28 None None None None None None None None 1 65 65
35 99 60 4 88 53 17 68 13 34,update-1-65 | update-6-22 | query-6-7 | update-4-88 | query-2-3 | query-6-9 | query-7-7 | update-5-70 | query-7-9 | update-4-23 | query-5-6 | query-3-8 | update-10-86 | update-4-88 | update-2-1,None None 92 None 159 173 17 None 98 None 233 493 None None None
17 93 28 66 14 29 2 31 22 62,query-3-10 | update-8-47 | update-3-44 | update-1-31 | query-3-4 | update-2-55 | update-5-80 | update-6-51 | update-8-55 | update-8-88 | query-7-10 | query-2-7 | query-5-9 | update-7-31 | query-8-10,254 None None None 138 None None None None None 307 462 419 None 305
81 14 76 35 75 47 56 56 18 71,update-10-99 | update-3-50 | query-1-7 | query-9-9 | update-6-23 | update-10-72 | update-4-50 | query-3-5 | update-8-64 | query-6-7 | update-6-48 | query-6-10 | update-3-1 | update-2-66 | update-7-22,None None 434 18 None None None 286 None 126 None 554 None None None
67 89 67 6 80 47 5 22 47 41,query-10-10 | query-1-2 | update-4-29 | query-7-7 | query-6-6 | update-3-92 | query-3-7 | query-6-8 | query-7-7 | query-6-10 | query-3-10 | query-10-10 | update-4-2 | query-1-7 | query-3-6,41 156 None 5 47 None 326 74 5 162 436 41 None 484 323
1 84 28 18 7 96 25 8 15 94,query-10-10 | update-3-67 | query-7-8 | query-2-6 | update-4-98 | query-9-9 | query-7-9 | query-10-10 | update-9-78 | query-9-9 | query-6-6 | update-10-92 | update-5-23 | query-4-5 | query-5-8,94 None 33 300 None 15 48 94 None 93 96 None None 146 159
79 6 14 17 67 3 36 57 59 25,update-2-92 | query-10-10 | query-8-9 | update-1-39 | query-2-2 | query-6-7 | query-3-5 | query-7-8 | update-4-15 | update-3-57 | query-3-7 | query-2-8 | query-9-10 | update-3-25 | update-1-7,None 25 116 None 98 39 98 93 None None 209 364 84 None None
53 20 62 41 88 72 43 78 58 26,query-3-5 | query-5-7 | query-8-9 | query-8-10 | update-6-3 | update-3-52 | query-1-5 | query-3-5 | update-6-66 | query-2-9 | update-6-66 | query-1-4 | query-9-10 | update-2-95 | update-1-67,191 203 136 162 None None 316 243 None 583 None 228 84 None None
49 84 49 52 20 13 17 33 58 11,update-6-3 | update-8-28 | query-3-3 | query-9-10 | query-8-8 | update-4-77 | update-7-31 | update-4-61 | update-4-61 | query-9-10 | update-10-73 | query-7-7 | update-7-38 | update-2-53 | query-8-9,None None 49 69 61 None None None None 69 None 48 None None 119
21 57 60 75 68 77 19 35 96 69,update-7-60 | update-3-36 | query-8-8 | query-3-3 | query-9-10 | query-7-8 | update-1-38 | update-8-18 | query-4-10 | query-6-6 | query-1-8 | update-2-90 | update-5-37 | update-4-23 | update-5-14,None None 35 96 165 114 None None 517 77 564 None None None None
69 97 99 87 34 10 97 93 96 36,query-1-5 | query-9-10 | update-7-46 | query-5-8 | query-2-4 | update-7-64 | query-10-10 | update-2-81 | query-1-6 | update-10-49 | query-5-9 | query-1-10 | query-6-8 | update-5-12 | query-8-9,386 132 None 280 283 None 36 None 477 None 440 958 310 None 189
1 67 29 71 79 80 24 92 61 91,update-7-99 | update-7-78 | query-7-10 | query-9-10 | query-5-6 | query-9-10 | update-5-63 | query-3-9 | update-3-4 | update-4-65 | update-10-79 | update-2-4 | update-6-87 | update-8-62 | update-7-59,None None 445 152 159 152 None 676 None None None None None None None
89 18 99 91 43 48 36 43 82 58,update-2-46 | update-7-63 | query-2-4 | update-7-20 | query-2-6 | query-7-9 | query-6-10 | query-4-4 | update-8-97 | query-1-4 | update-9-55 | query-10-10 | query-5-10 | update-1-21 | update-1-78,None None 254 None 345 244 350 91 None 343 None 58 545 None None
10 75 30 92 27 76 56 5 66 64,query-6-6 | update-2-30 | query-8-9 | update-2-46 | update-2-60 | update-1-63 | update-6-97 | query-9-9 | update-9-98 | query-2-6 | update-7-79 | query-8-8 | query-2-6 | query-4-7 | update-2-26,76 None 71 None None None None 66 None 533 None 5 533 427 None
43 10 56 60 45 31 93 8 90 57,query-9-9 | query-5-10 | query-1-10 | query-8-9 | update-9-46 | update-6-94 | update-10-58 | query-8-9 | query-6-7 | query-4-10 | query-3-5 | update-10-43 | query-7-7 | update-5-38 | update-4-92,90 324 493 98 None None None 144 218 582 161 None 93 None None
30 3 44 3 61 69 48 76 12 82,update-3-6 | query-7-8 | update-4-47 | query-7-9 | query-6-10 | query-8-8 | query-5-9 | update-2-41 | update-1-7 | update-6-90 | query-10-10 | query-9-9 | query-8-9 | update-10-35 | update-4-48,None 124 None 136 287 76 266 None None None 82 12 88 None None
4 75 64 32 1 4 86 95 2 33,query-2-6 | update-1-34 | update-5-5 | query-8-9 | query-3-7 | query-3-10 | update-2-46 | query-6-7 | update-2-19 | query-3-4 | update-7-10 | query-9-9 | query-2-10 | query-3-9 | update-1-54,176 None None 97 192 322 None 90 None 96 None 2 472 299 None
39 17 10 12 82 6 99 85 32 48,update-8-81 | query-2-7 | query-6-6 | update-10-19 | query-9-10 | update-5-32 | update-6-38 | query-2-8 | query-2-5 | query-1-10 | query-9-10 | update-4-97 | update-7-17 | query-6-9 | update-7-43,None 226 6 None 99 None None 462 153 600 99 None None 358 None
18 75 11 16 43 21 79 10 78 97,query-1-10 | update-3-83 | update-2-65 | query-5-7 | query-8-9 | update-3-20 | update-5-95 | update-9-12 | update-8-87 | update-4-63 | update-4-34 | update-1-40 | query-2-10 | query-8-9 | query-2-3,448 None None 143 88 None None None None None None None 889 187 254
48 9 9 33 28 32 54 11 93 61,query-10-10 | query-5-5 | update-5-85 | update-1-25 | update-9-21 | query-6-9 | update-3-20 | update-6-42 | query-2-2 | update-1-10 | query-6-7 | update-10-32 | update-1-22 | query-4-8 | query-7-10,61 28 None None None 211 None None 9 None 128 None None 285 272
11 50 93 18 96 2 83 15 41 90,update-1-57 | update-5-12 | query-7-9 | query-2-9 | query-8-9 | update-3-80 | query-6-9 | update-5-36 | query-9-10 | query-8-9 | update-3-76 | query-1-7 | query-8-9 | update-6-65 | query-3-4,None None 139 410 56 None 141 None 131 56 None 614 56 None 267
70 27 1 15 78 29 45 3 44 34,query-10-10 | update-3-34 | update-1-32 | query-9-10 | query-4-9 | update-4-40 | update-7-3 | update-8-47 | query-1-5 | update-8-89 | update-3-61 | update-10-69 | query-5-9 | update-2-3 | update-6-32,34 None None 78 214 None None None 297 None None None 338 None None
11 60 26 5 97 15 96 72 42 88,query-1-7 | query-2-3 | update-7-32 | query-2-3 | update-8-72 | update-6-48 | update-6-37 | query-10-10 | update-2-78 | update-2-19 | update-7-21 | update-3-3 | update-5-87 | update-2-19 | update-9-25,310 86 None 86 None None None 88 None None None None None None None
91 5 49 81 39 96 9 84 66 27,update-7-48 | query-3-9 | query-3-5 | query-8-10 | update-3-26 | update-8-88 | query-4-8 | update-2-28 | query-6-6 | query-5-6 | query-4-7 | query-9-9 | query-10-10 | update-1-97 | update-7-60,None 472 169 177 None None 445 None 96 135 273 66 27 None None
