nodes,edges,start_node,distances,intermediate_steps
10,4-1-95 1-4-95 7-2-8 2-7-8 4-9-74 9-4-74 6-1-67 1-6-67 0-2-77 2-0-77 3-9-10 9-3-10 0-5-19 5-0-19 6-4-4 4-6-4 9-0-65 0-9-65 2-6-58 6-2-58 3-8-7 8-3-7 3-5-12 5-3-12 4-6-61 6-4-61 6-0-61 0-6-61 1-3-63 3-1-63,0,0 94 77 31 65 19 61 85 38 41,0-0 | 5-19 | 3-31 | 8-38 | 9-41 | 6-61 | 4-65 | 2-77 | 7-85 | 1-94
10,0-3-82 3-0-82 4-7-46 7-4-46 0-9-45 9-0-45 8-5-57 5-8-57 4-8-96 8-4-96 1-0-95 0-1-95 4-1-100 1-4-100 4-2-56 2-4-56 9-0-68 0-9-68 1-8-14 8-1-14 0-5-88 5-0-88 2-3-51 3-2-51 1-6-20 6-1-20 5-9-30 9-5-30 0-4-97 4-0-97,3,82 177 51 0 107 157 197 153 191 127,3-0 | 2-51 | 0-82 | 4-107 | 9-127 | 7-153 | 5-157 | 1-177 | 8-191 | 6-197
10,2-3-47 3-2-47 2-3-54 3-2-54 3-1-95 1-3-95 9-2-24 2-9-24 1-3-11 3-1-11 0-4-22 4-0-22 3-6-70 6-3-70 3-1-87 1-3-87 3-7-80 7-3-80 1-3-1 3-1-1 1-8-76 8-1-76 5-0-73 0-5-73 0-7-57 7-0-57 7-1-75 1-7-75 8-2-28 2-8-28,8,208 76 28 75 230 281 145 151 0 52,8-0 | 2-28 | 9-52 | 3-75 | 1-76 | 6-145 | 7-151 | 0-208 | 4-230 | 5-281
10,4-9-86 9-4-86 0-7-99 7-0-99 7-9-86 9-7-86 3-8-32 8-3-32 7-9-39 9-7-39 7-3-95 3-7-95 5-9-51 9-5-51 2-6-27 6-2-27 2-4-16 4-2-16 8-9-62 9-8-62 5-4-53 4-5-53 5-3-52 3-5-52 8-1-6 1-8-6 3-6-1 6-3-1 4-0-46 0-4-46,4,46 82 16 44 0 53 43 125 76 86,4-0 | 2-16 | 6-43 | 3-44 | 0-46 | 5-53 | 8-76 | 1-82 | 9-86 | 7-125
10,6-2-53 2-6-53 2-7-87 7-2-87 3-0-88 0-3-88 3-9-95 9-3-95 2-8-99 8-2-99 7-8-36 8-7-36 8-9-46 9-8-46 6-3-47 3-6-47 9-3-31 3-9-31 3-9-71 9-3-71 8-5-26 5-8-26 4-6-21 6-4-21 4-9-33 9-4-33 9-3-84 3-9-84 8-6-90 6-8-90,2,188 inf 0 100 74 125 53 87 99 107,2-0 | 6-53 | 4-74 | 7-87 | 8-99 | 3-100 | 9-107 | 5-125 | 0-188
10,2-9-89 9-2-89 0-3-64 3-0-64 2-1-12 1-2-12 7-3-13 3-7-13 4-3-89 3-4-89 5-6-99 6-5-99 1-0-87 0-1-87 0-3-15 3-0-15 6-2-71 2-6-71 2-5-59 5-2-59 0-7-20 7-0-20 7-9-25 9-7-25 9-8-44 8-9-44 4-7-80 7-4-80 3-2-51 2-3-51,9,45 101 89 38 105 148 160 25 44 0,9-0 | 7-25 | 3-38 | 8-44 | 0-45 | 2-89 | 1-101 | 4-105 | 5-148 | 6-160
10,4-3-89 3-4-89 1-5-12 5-1-12 3-4-39 4-3-39 9-4-56 4-9-56 3-6-92 6-3-92 0-1-54 1-0-54 7-5-22 5-7-22 2-4-38 4-2-38 1-5-4 5-1-4 8-5-38 5-8-38 6-3-78 3-6-78 4-5-3 5-4-3 9-0-69 0-9-69 3-5-10 5-3-10 7-5-10 5-7-10,8,96 42 79 48 41 38 126 48 0 97,8-0 | 5-38 | 4-41 | 1-42 | 3-48 | 7-48 | 2-79 | 0-96 | 9-97 | 6-126
10,4-8-99 8-4-99 4-1-36 1-4-36 4-2-19 2-4-19 3-6-24 6-3-24 6-1-36 1-6-36 7-3-14 3-7-14 9-8-67 8-9-67 6-9-6 9-6-6 2-6-31 6-2-31 4-0-45 0-4-45 1-9-71 9-1-71 4-2-45 2-4-45 2-4-48 4-2-48 0-2-96 2-0-96 1-6-72 6-1-72,6,95 36 31 24 50 inf 0 38 73 6,6-0 | 9-6 | 3-24 | 2-31 | 1-36 | 7-38 | 4-50 | 8-73 | 0-95
10,6-0-37 0-6-37 7-1-88 1-7-88 6-7-10 7-6-10 2-0-89 0-2-89 6-7-78 7-6-78 7-8-60 8-7-60 7-8-21 8-7-21 5-3-43 3-5-43 8-2-21 2-8-21 1-3-28 3-1-28 5-4-52 4-5-52 4-8-16 8-4-16 2-9-6 9-2-6 7-1-51 1-7-51 0-8-41 8-0-41,4,57 88 37 95 0 52 47 37 16 43,4-0 | 8-16 | 2-37 | 7-37 | 9-43 | 6-47 | 5-52 | 0-57 | 1-88 | 3-95
10,9-5-45 5-9-45 4-2-94 2-4-94 4-1-64 1-4-64 9-7-43 7-9-43 4-5-100 5-4-100 2-9-10 9-2-10 2-1-77 1-2-77 5-6-48 6-5-48 4-8-70 8-4-70 9-1-87 1-9-87 7-0-85 0-7-85 8-9-1 9-8-1 0-9-63 9-0-63 6-2-92 2-6-92 9-2-89 2-9-89,9,63 87 10 inf 71 45 93 43 1 0,9-0 | 8-1 | 2-10 | 7-43 | 5-45 | 0-63 | 4-71 | 1-87 | 6-93
10,7-4-61 4-7-61 3-4-16 4-3-16 9-8-82 8-9-82 8-0-4 0-8-4 5-4-12 4-5-12 8-2-62 2-8-62 4-9-43 9-4-43 4-5-26 5-4-26 8-7-100 7-8-100 0-6-81 6-0-81 0-7-14 7-0-14 4-6-68 6-4-68 3-7-8 7-3-8 3-9-48 9-3-48 8-5-68 5-8-68,0,0 inf 66 22 38 50 81 14 4 70,0-0 | 8-4 | 7-14 | 3-22 | 4-38 | 5-50 | 2-66 | 9-70 | 6-81
10,3-1-67 1-3-67 1-4-3 4-1-3 6-4-68 4-6-68 3-4-6 4-3-6 3-9-94 9-3-94 5-4-71 4-5-71 3-7-2 7-3-2 4-1-1 1-4-1 1-4-89 4-1-89 7-0-36 0-7-36 1-0-72 0-1-72 8-0-29 0-8-29 6-4-10 4-6-10 6-0-90 0-6-90 2-1-99 1-2-99,4,44 1 100 6 0 71 10 8 73 100,4-0 | 1-1 | 3-6 | 7-8 | 6-10 | 0-44 | 5-71 | 8-73 | 2-100 | 9-100
10,8-1-55 1-8-55 4-2-81 2-4-81 2-3-50 3-2-50 5-8-73 8-5-73 3-5-54 5-3-54 2-5-19 5-2-19 1-9-60 9-1-60 4-2-19 2-4-19 0-8-53 8-0-53 5-9-30 9-5-30 9-1-83 1-9-83 7-3-99 3-7-99 9-8-23 8-9-23 3-6-37 6-3-37 0-1-48 1-0-48,8,53 55 72 107 91 53 144 206 0 23,8-0 | 9-23 | 0-53 | 5-53 | 1-55 | 2-72 | 4-91 | 3-107 | 6-144 | 7-206
10,1-7-85 7-1-85 9-7-86 7-9-86 0-6-1 6-0-1 8-4-11 4-8-11 7-5-16 5-7-16 5-8-69 8-5-69 8-5-92 5-8-92 5-0-94 0-5-94 4-8-37 8-4-37 3-6-64 6-3-64 7-2-65 2-7-65 3-9-88 9-3-88 2-5-77 5-2-77 6-2-66 2-6-66 8-1-68 1-8-68,2,67 150 0 130 157 77 66 65 146 151,2-0 | 7-65 | 6-66 | 0-67 | 5-77 | 3-130 | 8-146 | 1-150 | 9-151 | 4-157
10,7-1-50 1-7-50 8-6-3 6-8-3 0-5-75 5-0-75 9-6-56 6-9-56 1-9-84 9-1-84 4-3-85 3-4-85 8-3-28 3-8-28 4-5-86 5-4-86 1-7-8 7-1-8 4-0-71 0-4-71 6-5-18 5-6-18 7-3-42 3-7-42 8-6-46 6-8-46 9-6-83 6-9-83 9-8-25 8-9-25,3,124 50 inf 0 85 49 31 42 28 53,3-0 | 8-28 | 6-31 | 7-42 | 5-49 | 1-50 | 9-53 | 4-85 | 0-124
10,3-1-47 1-3-47 7-4-79 4-7-79 2-0-16 0-2-16 7-2-88 2-7-88 2-3-100 3-2-100 5-2-99 2-5-99 3-4-89 4-3-89 7-0-45 0-7-45 1-5-36 5-1-36 0-1-16 1-0-16 6-0-11 0-6-11 6-2-37 2-6-37 7-8-9 8-7-9 1-2-31 2-1-31 6-3-70 3-6-70,8,54 70 70 117 88 106 65 9 0 inf,8-0 | 7-9 | 0-54 | 6-65 | 1-70 | 2-70 | 4-88 | 5-106 | 3-117
10,3-7-91 7-3-91 5-4-95 4-5-95 1-6-34 6-1-34 8-7-38 7-8-38 4-7-97 7-4-97 0-5-5 5-0-5 1-4-81 4-1-81 8-4-24 4-8-24 3-0-72 0-3-72 5-1-27 1-5-27 6-8-34 8-6-34 1-3-95 3-1-95 0-8-85 8-0-85 5-2-18 2-5-18 7-4-10 4-7-10,8,85 68 108 125 24 90 34 34 0 inf,8-0 | 4-24 | 6-34 | 7-34 | 1-68 | 0-85 | 5-90 | 2-108 | 3-125
10,3-7-98 7-3-98 5-8-23 8-5-23 1-9-21 9-1-21 0-7-100 7-0-100 0-8-84 8-0-84 7-3-3 3-7-3 7-1-34 1-7-34 1-6-24 6-1-24 0-8-55 8-0-55 5-4-37 4-5-37 8-3-84 3-8-84 0-6-68 6-0-68 1-2-63 2-1-63 9-7-51 7-9-51 5-8-72 8-5-72,3,103 37 100 0 144 107 61 3 84 54,3-0 | 7-3 | 1-37 | 9-54 | 6-61 | 8-84 | 2-100 | 0-103 | 5-107 | 4-144
10,3-1-57 1-3-57 1-3-66 3-1-66 9-6-71 6-9-71 9-2-53 2-9-53 8-4-38 4-8-38 1-0-48 0-1-48 8-4-19 4-8-19 3-9-58 9-3-58 7-1-72 1-7-72 7-3-83 3-7-83 1-8-37 8-1-37 0-2-86 2-0-86 7-0-98 0-7-98 7-1-1 1-7-1 2-0-56 0-2-56,9,109 115 53 58 171 inf 71 116 152 0,9-0 | 2-53 | 3-58 | 6-71 | 0-109 | 1-115 | 7-116 | 8-152 | 4-171
10,4-0-9 0-4-9 3-6-20 6-3-20 5-6-10 6-5-10 9-6-66 6-9-66 7-2-11 2-7-11 2-3-7 3-2-7 9-1-75 1-9-75 5-3-40 3-5-40 8-9-34 9-8-34 2-7-56 7-2-56 6-8-60 8-6-60 9-8-63 8-9-63 2-9-92 9-2-92 1-5-21 5-1-21 4-2-83 2-4-83,1,150 0 58 51 141 21 31 69 91 75,1-0 | 5-21 | 6-31 | 3-51 | 2-58 | 7-69 | 9-75 | 8-91 | 4-141 | 0-150
10,5-4-12 4-5-12 0-4-68 4-0-68 4-0-6 0-4-6 8-1-89 1-8-89 8-4-20 4-8-20 9-4-46 4-9-46 4-0-45 0-4-45 8-1-26 1-8-26 7-5-95 5-7-95 3-0-2 0-3-2 9-2-23 2-9-23 7-9-10 9-7-10 7-8-46 8-7-46 1-9-66 9-1-66 5-4-15 4-5-15,7,62 72 33 64 56 68 inf 0 46 10,7-0 | 9-10 | 2-33 | 8-46 | 4-56 | 0-62 | 3-64 | 5-68 | 1-72
10,4-3-63 3-4-63 3-7-90 7-3-90 6-5-47 5-6-47 2-6-5 6-2-5 6-5-79 5-6-79 7-0-95 0-7-95 2-9-52 9-2-52 6-9-37 9-6-37 5-6-52 6-5-52 7-0-30 0-7-30 1-9-34 9-1-34 4-5-95 5-4-95 7-5-94 5-7-94 8-2-8 2-8-8 8-5-54 5-8-54,1,242 0 76 276 213 118 71 212 84 34,1-0 | 9-34 | 6-71 | 2-76 | 8-84 | 5-118 | 7-212 | 4-213 | 0-242 | 3-276
10,2-6-49 6-2-49 1-3-31 3-1-31 0-9-16 9-0-16 1-7-30 7-1-30 6-2-32 2-6-32 0-3-93 3-0-93 9-8-98 8-9-98 2-5-60 5-2-60 5-7-37 7-5-37 1-8-48 8-1-48 0-7-74 7-0-74 3-8-10 8-3-10 0-3-13 3-0-13 3-0-26 0-3-26 2-7-13 7-2-13,9,16 60 103 29 inf 127 135 90 39 0,9-0 | 0-16 | 3-29 | 8-39 | 1-60 | 7-90 | 2-103 | 5-127 | 6-135
10,4-6-94 6-4-94 3-8-38 8-3-38 4-0-88 0-4-88 4-5-62 5-4-62 2-6-100 6-2-100 2-0-44 0-2-44 2-8-22 8-2-22 4-3-35 3-4-35 6-2-75 2-6-75 7-8-60 8-7-60 9-7-85 7-9-85 5-0-27 0-5-27 2-7-16 7-2-16 0-7-27 7-0-27 5-6-28 6-5-28,8,65 inf 22 38 73 92 97 38 0 123,8-0 | 2-22 | 3-38 | 7-38 | 0-65 | 4-73 | 5-92 | 6-97 | 9-123
10,0-2-2 2-0-2 1-6-17 6-1-17 3-5-84 5-3-84 1-5-63 5-1-63 1-3-47 3-1-47 5-9-92 9-5-92 1-0-76 0-1-76 2-1-9 1-2-9 1-2-47 2-1-47 8-4-20 4-8-20 1-6-91 6-1-91 6-2-92 2-6-92 9-1-82 1-9-82 2-7-81 7-2-81 0-3-96 3-0-96,9,93 82 91 129 inf 92 99 172 inf 0,9-0 | 1-82 | 2-91 | 5-92 | 0-93 | 6-99 | 3-129 | 7-172
10,0-2-79 2-0-79 1-5-64 5-1-64 8-1-39 1-8-39 4-8-83 8-4-83 4-3-58 3-4-58 3-0-61 0-3-61 9-4-81 4-9-81 0-8-47 8-0-47 5-3-72 3-5-72 9-3-11 3-9-11 4-5-23 5-4-23 3-8-59 8-3-59 1-7-97 7-1-97 3-9-46 9-3-46 9-3-56 3-9-56,7,183 97 262 195 184 161 inf 0 136 206,7-0 | 1-97 | 8-136 | 5-161 | 0-183 | 4-184 | 3-195 | 9-206 | 2-262
10,9-6-71 6-9-71 7-0-81 0-7-81 6-1-14 1-6-14 7-4-10 4-7-10 5-1-97 1-5-97 4-0-88 0-4-88 0-1-35 1-0-35 5-4-14 4-5-14 6-8-68 8-6-68 4-0-50 0-4-50 9-7-57 7-9-57 1-4-56 4-1-56 6-7-32 7-6-32 8-6-12 6-8-12 1-2-3 2-1-3,4,50 56 59 inf 0 14 42 10 54 67,4-0 | 7-10 | 5-14 | 6-42 | 0-50 | 8-54 | 1-56 | 2-59 | 9-67
10,5-4-39 4-5-39 6-3-26 3-6-26 5-8-38 8-5-38 6-9-65 9-6-65 1-6-42 6-1-42 8-9-28 9-8-28 8-0-65 0-8-65 9-8-100 8-9-100 8-6-66 6-8-66 7-4-59 4-7-59 0-4-22 4-0-22 7-2-61 2-7-61 7-6-67 6-7-67 8-2-30 2-8-30 0-2-4 2-0-4,6,100 42 96 26 122 104 0 67 66 65,6-0 | 3-26 | 1-42 | 9-65 | 8-66 | 7-67 | 2-96 | 0-100 | 5-104 | 4-122
10,4-6-38 6-4-38 0-7-42 7-0-42 6-2-29 2-6-29 5-7-3 7-5-3 2-6-11 6-2-11 6-3-19 3-6-19 0-1-52 1-0-52 0-6-76 6-0-76 8-1-93 1-8-93 3-0-30 0-3-30 5-8-85 8-5-85 9-2-66 2-9-66 0-2-33 2-0-33 6-8-38 8-6-38 7-3-82 3-7-82,3,30 82 30 0 57 75 19 72 57 96,3-0 | 6-19 | 0-30 | 2-30 | 4-57 | 8-57 | 7-72 | 5-75 | 1-82 | 9-96
10,8-0-100 0-8-100 1-7-67 7-1-67 4-6-15 6-4-15 7-0-84 0-7-84 9-5-89 5-9-89 0-1-74 1-0-74 8-4-48 4-8-48 9-1-30 1-9-30 5-1-63 1-5-63 9-3-100 3-9-100 0-2-17 2-0-17 7-0-44 0-7-44 1-7-39 7-1-39 0-4-94 4-0-94 9-0-44 0-9-44,9,44 30 61 100 138 89 153 69 144 0,9-0 | 1-30 | 0-44 | 2-61 | 7-69 | 5-89 | 3-100 | 4-138 | 8-144 | 6-153
10,3-1-81 1-3-81 3-8-27 8-3-27 6-0-73 0-6-73 9-1-73 1-9-73 3-7-83 7-3-83 7-5-46 5-7-46 4-7-4 7-4-4 2-5-20 5-2-20 5-3-11 3-5-11 1-8-78 8-1-78 4-6-53 6-4-53 0-7-56 7-0-56 5-1-70 1-5-70 7-1-53 1-7-53 2-3-98 3-2-98,2,122 90 0 31 70 20 123 66 58 163,2-0 | 5-20 | 3-31 | 8-58 | 7-66 | 4-70 | 1-90 | 0-122 | 6-123 | 9-163
10,5-9-32 9-5-32 4-8-91 8-4-91 5-6-21 6-5-21 4-6-31 6-4-31 3-0-23 0-3-23 4-9-5 9-4-5 6-5-20 5-6-20 5-1-23 1-5-23 7-1-62 1-7-62 1-9-23 9-1-23 4-9-82 9-4-82 9-6-29 6-9-29 4-8-21 8-4-21 0-6-9 6-0-9 1-7-97 7-1-97,8,61 49 inf 84 21 58 52 111 0 26,8-0 | 4-21 | 9-26 | 1-49 | 6-52 | 5-58 | 0-61 | 3-84 | 7-111
10,3-5-10 5-3-10 6-2-36 2-6-36 2-7-91 7-2-91 3-0-94 0-3-94 0-7-27 7-0-27 6-2-46 2-6-46 0-9-88 9-0-88 5-3-55 3-5-55 1-7-6 7-1-6 8-5-73 5-8-73 0-3-40 3-0-40 1-7-45 7-1-45 4-7-99 7-4-99 1-2-53 2-1-53 0-9-16 9-0-16,7,27 6 59 67 99 77 95 0 150 43,7-0 | 1-6 | 0-27 | 9-43 | 2-59 | 3-67 | 5-77 | 6-95 | 4-99 | 8-150
10,1-7-20 7-1-20 2-5-52 5-2-52 7-1-71 1-7-71 1-6-96 6-1-96 3-6-85 6-3-85 3-5-9 5-3-9 9-8-52 8-9-52 5-7-85 7-5-85 5-3-70 3-5-70 4-8-63 8-4-63 6-7-3 7-6-3 7-2-63 2-7-63 7-9-73 9-7-73 3-5-54 5-3-54 1-6-42 6-1-42,8,inf 145 188 213 63 210 128 125 0 52,8-0 | 9-52 | 4-63 | 7-125 | 6-128 | 1-145 | 2-188 | 5-210 | 3-213
